Holiday,Discount,Free Delivery,Purchase
No,Yes,Yes,Yes
No,Yes,Yes,Yes
No,No,No,No
yes,Yes,Yes,Yes
yes,Yes,Yes,Yes
yes,No,No,No
yes,Yes,No,Yes
No,Yes,Yes,Yes
yes,Yes,Yes,Yes
yes,Yes,Yes,Yes
yes,No,Yes,Yes
yes,No,No,No
yes,Yes,Yes,Yes
yes,Yes,Yes,Yes
yes,Yes,Yes,Yes
No,Yes,Yes,Yes
yes,No,Yes,Yes
No,Yes,No,Yes
yes,No,No,Yes
yes,No,Yes,Yes
No,Yes,Yes,Yes
yes,Yes,Yes,No
yes,No,Yes,Yes
No,Yes,Yes,Yes
yes,No,No,No
No,No,Yes,No
No,Yes,Yes,Yes
No,Yes,Yes,Yes
yes,Yes,Yes,Yes
yes,Yes,Yes,Yes
